src_region,src_tier,dst_region,dst_tier,throughput_sent_bits_per_second,throughput_received_bits_per_second,cpu_utilization_percent
aws:me-south-1,PREMIUM,azure:westeurope,PREMIUM,5316353401,3971717656,5.477592884
azure:koreacentral,PREMIUM,gcp:us-west1-a,PREMIUM,8353644168,7201461721,7.993578227
azure:australiaeast,PREMIUM,gcp:asia-east1-a,PREMIUM,8936994326,7649742152,7.952798575
gcp:northamerica-northeast2-a,PREMIUM,aws:ap-northeast-1,PREMIUM,5087137000,4683327000,33.872236
azure:westus2,PREMIUM,azure:germanywestcentral,PREMIUM,15841275897,11430210489,10.64780095
aws:eu-west-1,PREMIUM,aws:af-south-1,PREMIUM,5180553273,3542687438,4.692850285
gcp:asia-south2-a,PREMIUM,gcp:australia-southeast2-a,PREMIUM,5212638000,4478262000,33.310383
aws:eu-west-3,PREMIUM,aws:ap-southeast-1,PREMIUM,4840661960,3432522499,4.618632012
gcp:us-west1-a,STANDARD,azure:francecentral,PREMIUM,6270265000,5023913000,30.997906
aws:us-east-2,PREMIUM,gcp:asia-northeast1-a,STANDARD,5642961800,3623933384,5.00978569
aws:us-west-1,PREMIUM,gcp:asia-southeast1-a,PREMIUM,5265404954,3565819517,4.912447191
aws:ca-central-1,PREMIUM,gcp:asia-northeast3-a,PREMIUM,5126738343,3452212690,5.011987727
gcp:southamerica-east1-a,PREMIUM,gcp:europe-west2-a,PREMIUM,5328274000,4170984000,28.154594
gcp:asia-southeast1-a,STANDARD,aws:us-west-2,PREMIUM,6005771000,4720278000,28.306716
gcp:us-east1-b,STANDARD,gcp:asia-south1-a,PREMIUM,6015372000,4145057000,25.41287
gcp:asia-southeast2-a,STANDARD,gcp:europe-west1-b,STANDARD,5051746000,4336043000,26.395308
gcp:australia-southeast1-a,PREMIUM,azure:eastus2,PREMIUM,8193216000,4799645000,25.901226
azure:uksouth,PREMIUM,azure:japaneast,PREMIUM,12566208338,8733455756,7.518283725
azure:northeurope,PREMIUM,gcp:asia-northeast2-a,PREMIUM,2809877993,2080121783,3.776138576
aws:ap-northeast-3,PREMIUM,gcp:europe-west6-a,STANDARD,5485549982,2977693879,4.797084963
gcp:australia-southeast1-a,STANDARD,azure:germanywestcentral,PREMIUM,3724147000,3328402000,22.313616
gcp:asia-east1-a,STANDARD,gcp:europe-north1-a,STANDARD,7807317000,3434290000,19.035813
gcp:southamerica-east1-a,STANDARD,aws:ap-south-1,PREMIUM,4467178000,1644915000,17.490474
aws:eu-central-1,PREMIUM,aws:eu-west-3,PREMIUM,4912075840,4748938128,9.802252704
gcp:europe-west4-a,STANDARD,gcp:europe-west1-b,STANDARD,7101340000,7022223000,91.346332
gcp:us-east1-b,STANDARD,gcp:northamerica-northeast1-a,PREMIUM,6761881000,6693280000,75.195784
gcp:us-east1-b,PREMIUM,azure:northcentralus,PREMIUM,6908252000,6813805000,72.680023
aws:eu-north-1,PREMIUM,gcp:europe-west3-a,PREMIUM,5083833815,4675304886,7.669804663
aws:ap-northeast-2,PREMIUM,aws:ap-east-1,PREMIUM,4986018739,4564103805,7.886574399
azure:westus3,PREMIUM,azure:canadacentral,PREMIUM,16986185587,14039029132,15.23300641
azure:uksouth,PREMIUM,aws:us-east-1,PREMIUM,2443778010,2181352725,4.617940229
gcp:us-west4-a,STANDARD,aws:ca-central-1,PREMIUM,5763985000,5252450000,49.086596
aws:eu-west-2,PREMIUM,aws:us-east-2,PREMIUM,5082393317,4155239951,5.771327377
gcp:us-east4-a,STANDARD,gcp:europe-north1-a,PREMIUM,6225162000,5510897000,42.007706
gcp:asia-northeast1-a,PREMIUM,azure:westus2,PREMIUM,3938515000,3835117000,42.882059
aws:me-south-1,PREMIUM,gcp:europe-west2-a,PREMIUM,5267461058,4112358758,5.514132959
gcp:us-west1-a,PREMIUM,gcp:asia-northeast3-a,PREMIUM,6068243000,5907600000,38.908858
gcp:southamerica-east1-a,PREMIUM,azure:eastus2,PREMIUM,7575951000,5192852000,39.135511
gcp:northamerica-northeast2-a,PREMIUM,gcp:asia-northeast2-a,PREMIUM,5526662000,4927761000,32.88358
aws:ap-northeast-3,PREMIUM,azure:australiaeast,PREMIUM,5266582118,3680857050,5.258779429
azure:germanywestcentral,PREMIUM,aws:us-west-1,PREMIUM,4485174544,3521028245,5.300015478
aws:ap-south-1,PREMIUM,gcp:europe-central2-a,PREMIUM,5269413310,3789685266,4.576121037
aws:eu-south-1,PREMIUM,gcp:us-west4-a,PREMIUM,229589434.9,168188861.8,2.599304039
gcp:asia-south2-a,PREMIUM,azure:germanywestcentral,PREMIUM,7321136000,5212776000,32.881001
gcp:us-central1-a,STANDARD,gcp:asia-east2-a,PREMIUM,3281362000,3020716000,29.796519
gcp:asia-southeast2-a,PREMIUM,gcp:us-west1-a,STANDARD,5796901000,4730185000,30.715243
aws:sa-east-1,PREMIUM,gcp:europe-west4-a,PREMIUM,5092908230,3332474439,4.815610297
aws:eu-west-1,PREMIUM,gcp:asia-southeast1-a,PREMIUM,5010312923,3261664832,4.224380322
azure:francecentral,PREMIUM,azure:koreacentral,PREMIUM,13007471549,9271263841,7.917260065
gcp:asia-northeast1-a,STANDARD,gcp:southamerica-west1-a,PREMIUM,7232437000,4723136000,26.684014
gcp:asia-east2-a,STANDARD,gcp:us-east4-a,PREMIUM,2003848000,1926052000,27.221019
azure:eastus,PREMIUM,aws:ap-southeast-1,PREMIUM,4693275607,3087416305,4.930024252
gcp:northamerica-northeast1-a,STANDARD,gcp:asia-southeast2-a,STANDARD,7647348000,4071504000,24.700309
gcp:asia-east1-a,PREMIUM,azure:northeurope,PREMIUM,5545534000,4361819000,24.516483
gcp:europe-west2-a,STANDARD,azure:japaneast,PREMIUM,7240700000,4176100000,24.222247
azure:westeurope,PREMIUM,gcp:asia-east1-a,STANDARD,4901453982,3375961441,4.80984743
gcp:us-central1-a,PREMIUM,gcp:asia-south1-a,PREMIUM,5421754000,3969549000,23.037197
aws:us-west-2,PREMIUM,gcp:asia-south1-a,STANDARD,5414930133,2881009982,4.219658215
gcp:europe-west1-b,PREMIUM,gcp:australia-southeast1-a,PREMIUM,8602982000,3784939000,21.826551
gcp:europe-north1-a,STANDARD,gcp:asia-northeast3-a,STANDARD,4647841000,3464260000,21.420971
aws:ap-northeast-1,PREMIUM,gcp:southamerica-east1-a,STANDARD,5499255285,2702576459,4.520125853
gcp:australia-southeast1-a,STANDARD,gcp:europe-west3-a,STANDARD,6127845000,3357597000,21.515115
gcp:europe-west6-a,PREMIUM,aws:ap-southeast-2,PREMIUM,4840831000,3351137000,20.487088
gcp:europe-west6-a,STANDARD,gcp:australia-southeast2-a,PREMIUM,4002138000,3156911000,20.377594
gcp:asia-southeast1-a,STANDARD,aws:af-south-1,PREMIUM,2647674000,1814416000,18.865074
gcp:europe-west4-a,PREMIUM,gcp:europe-west4-a,STANDARD,7138650000,7108614000,99.476676
aws:eu-west-1,PREMIUM,aws:eu-west-2,PREMIUM,4975172995,4735501202,7.455629023
aws:eu-south-1,PREMIUM,azure:uksouth,PREMIUM,5000747927,4657122921,7.324787842
gcp:asia-northeast1-a,PREMIUM,aws:ap-northeast-3,PREMIUM,7167635000,7042420000,89.662906
gcp:asia-northeast1-a,STANDARD,gcp:asia-east2-a,STANDARD,5514530000,5282032000,62.089524
gcp:asia-southeast2-a,STANDARD,gcp:asia-east2-a,PREMIUM,6620571000,6439243000,59.686717
gcp:australia-southeast1-a,STANDARD,aws:ap-southeast-2,PREMIUM,6202616000,5967703000,58.966203
aws:eu-west-3,PREMIUM,gcp:us-east4-a,PREMIUM,5070204234,4290324519,5.507591098
gcp:europe-west1-b,PREMIUM,gcp:us-east4-a,STANDARD,5872990000,5201793000,47.946681
gcp:northamerica-northeast1-a,STANDARD,gcp:europe-west3-a,STANDARD,6256996000,5170012000,45.982177
gcp:asia-southeast2-a,PREMIUM,aws:ap-south-1,PREMIUM,6490212000,5566877000,49.392991
gcp:europe-west2-a,STANDARD,aws:me-south-1,PREMIUM,5964752000,5628690000,46.191882
azure:eastus,PREMIUM,gcp:europe-west6-a,STANDARD,7886987224,7023451745,8.29163533
gcp:europe-west3-a,PREMIUM,azure:eastus2,PREMIUM,6221980000,5522238000,44.966661
azure:francecentral,PREMIUM,gcp:northamerica-northeast1-a,PREMIUM,7029763324,6081422539,7.915519083
aws:eu-central-1,PREMIUM,azure:canadacentral,PREMIUM,5150367243,4052669002,5.743542293
gcp:europe-west1-b,STANDARD,azure:northcentralus,PREMIUM,5782749000,5188779000,39.798141
gcp:northamerica-northeast2-a,PREMIUM,gcp:europe-north1-a,STANDARD,6075961000,5317849000,37.884473
gcp:southamerica-west1-a,PREMIUM,azure:westus,PREMIUM,7261980000,5257633000,36.044059
gcp:asia-east1-a,STANDARD,gcp:australia-southeast2-a,PREMIUM,7555246000,5201318000,36.330075
gcp:europe-west6-a,PREMIUM,gcp:us-west4-a,STANDARD,6107338000,5064618000,32.954751
gcp:us-east1-b,STANDARD,gcp:asia-northeast2-a,PREMIUM,7850208000,5287131000,31.580477
gcp:asia-east1-a,PREMIUM,gcp:us-central1-a,PREMIUM,5783175000,4585529000,31.735844
gcp:us-west1-a,STANDARD,aws:ap-northeast-2,PREMIUM,5005360000,4635581000,31.620046
aws:us-west-2,PREMIUM,gcp:asia-southeast1-a,PREMIUM,5271395215,3630220334,4.538677971
gcp:southamerica-east1-a,STANDARD,gcp:us-west4-a,PREMIUM,8618769000,4983252000,31.534261
azure:japaneast,PREMIUM,aws:us-east-2,PREMIUM,1625973530,1284674219,3.609594119
aws:af-south-1,PREMIUM,azure:germanywestcentral,PREMIUM,5049743497,3524872924,4.529814655
gcp:us-east1-b,PREMIUM,gcp:asia-northeast3-a,STANDARD,6727341000,4825130000,29.288528
azure:westeurope,PREMIUM,gcp:southamerica-east1-a,PREMIUM,3282477304,2546173221,4.334811766
aws:us-east-1,PREMIUM,gcp:australia-southeast1-a,PREMIUM,5065004655,3311250495,4.881042245
gcp:us-central1-a,STANDARD,aws:ap-east-1,PREMIUM,4634368000,3710359000,26.950915
gcp:asia-southeast1-a,STANDARD,gcp:europe-west2-a,PREMIUM,4156443000,3494385000,27.238035
aws:ca-central-1,PREMIUM,azure:australiaeast,PREMIUM,5058545464,3071076454,4.8468278
gcp:europe-central2-a,PREMIUM,aws:ap-southeast-1,PREMIUM,5210287000,4272368000,26.326504
gcp:europe-north1-a,PREMIUM,aws:sa-east-1,PREMIUM,4500842000,3732479000,25.545064
azure:northeurope,PREMIUM,azure:koreacentral,PREMIUM,12732388830,8909687863,7.23442886
azure:germanywestcentral,PREMIUM,aws:ap-northeast-1,PREMIUM,4582567641,3101198043,5.04255852
gcp:asia-south1-a,PREMIUM,gcp:us-west1-a,PREMIUM,7359355000,4581096000,25.80839
azure:westus2,PREMIUM,gcp:asia-south2-a,PREMIUM,6937562114,5077461600,5.589076343
gcp:asia-south1-a,STANDARD,aws:us-west-1,PREMIUM,5368269000,4055904000,23.44248
aws:eu-north-1,PREMIUM,gcp:asia-northeast3-a,PREMIUM,5273314486,2745409325,4.607980853
gcp:asia-northeast1-a,PREMIUM,azure:japaneast,PREMIUM,7147914000,7108176000,96.221278
gcp:europe-west2-a,PREMIUM,gcp:europe-west1-b,PREMIUM,6976320000,6911899000,90.825547
azure:germanywestcentral,PREMIUM,azure:westeurope,PREMIUM,16884342198,15393589341,22.66532422
gcp:europe-west3-a,PREMIUM,aws:eu-west-3,PREMIUM,7159565000,7032435000,88.322204
aws:eu-south-1,PREMIUM,azure:northeurope,PREMIUM,5059346595,4599650416,6.875690253
azure:francecentral,PREMIUM,gcp:europe-north1-a,STANDARD,15274424809,14049365521,18.09368499
aws:eu-west-2,PREMIUM,gcp:europe-north1-a,PREMIUM,5064796886,4588489250,6.798647503
gcp:europe-west2-a,STANDARD,aws:us-east-1,PREMIUM,6311448000,6066110000,48.401027
azure:eastus,PREMIUM,aws:eu-central-1,PREMIUM,4478472750,3984731269,5.847665091
